term,label,generated_at,frozen,courses,sections,meetings,courses_with_descriptions,sections_with_availability,grade_archive_records,manifest_ok_cells,manifest_empty_cells,manifest_failed_cells,manifest_partial_cells,snapshot_bytes,manifest_bytes
FA26,Fall 2026,2026-08-13T11:00:06.839Z,false,2142,6695,12348,1755,6695,15138,437,57,28,0,27804718,211853
S224,Summer Session II 2024,2026-08-13T11:00:06.839Z,false,411,694,1539,395,545,0,143,0,73,0,1628132,112102
S324,Special Summer Session 2024,2026-08-13T11:00:06.839Z,false,128,301,386,112,95,0,84,0,51,0,515350,69123
FA24,Fall 2024,2026-08-13T11:00:06.839Z,false,2352,8296,69136,1900,5138,0,336,0,219,0,40254537,282682
WI25,Winter 2025,2026-08-13T11:00:06.839Z,false,2385,8419,15170,1934,5059,0,341,0,223,0,15533924,287062
SP25,Spring 2025,2026-08-13T11:00:06.839Z,false,2317,8488,14771,1898,4962,0,337,0,221,0,15334304,283931
S125,Summer Session I 2025,2026-08-13T11:00:06.839Z,false,507,785,1703,489,593,0,160,0,83,0,1859404,125880
S225,Summer Session II 2025,2026-08-13T11:00:06.839Z,false,507,830,1855,489,628,0,172,0,89,0,1962437,135169
S325,Special Summer Session 2025,2026-08-13T11:00:06.839Z,false,144,308,403,129,102,0,94,0,53,0,543431,75724
FA25,Fall 2025,2026-08-13T11:00:06.839Z,false,2384,8650,15481,1931,5197,0,339,0,219,0,15823643,284244
WI26,Winter 2026,2026-08-13T11:00:06.839Z,false,2427,8457,15347,1964,5307,0,342,0,228,0,15647967,289543
SP26,Spring 2026,2026-08-13T11:00:06.839Z,false,2393,8050,14314,1926,5050,0,335,0,226,0,14831991,284531
S126,Summer Session I 2026,2026-08-13T11:00:06.839Z,false,424,621,1328,398,446,0,148,0,80,0,1475256,117686
S226,Summer Session II 2026,2026-08-13T11:00:06.839Z,false,397,599,1284,380,437,0,154,0,80,0,1417082,121202
S326,Special Summer Session 2026,2026-08-13T11:00:06.839Z,false,123,303,382,116,106,0,79,0,44,0,515539,63404
