term,course_id,title,catalog_url
FA26,AAS:10R,Introduction to African American Studies,https://catalog.ucsd.edu/courses/AASM.html#aasm10
FA26,AAS:170,Legacies of Research on Disenfranchised Communities,https://catalog.ucsd.edu/courses/AASM.html#aas170
FA26,AAS:198,Directed Group Study in African American Studies,https://catalog.ucsd.edu/courses/AASM.html#aas198
FA26,AAS:199,Independent Study in African American Studies,https://catalog.ucsd.edu/courses/AASM.html#aas199
FA26,ANAR:111,Foundations of Archaeology,https://catalog.ucsd.edu/courses/ANTH.html#anar111
FA26,ANAR:117,"Archaeological Field and Lab Class, Southern California",https://catalog.ucsd.edu/courses/ANTH.html#anar117
FA26,ANAR:159,Pre-Hispanic Societies of the Caribbean Archipelago,https://catalog.ucsd.edu/courses/ANTH.html#anar159
FA26,ANAR:166,Introduction to Environmental Archaeology—Theory and Method of Socioecodynamics and Human Paleoecology,https://catalog.ucsd.edu/courses/ANTH.html#anar166
FA26,ANAR:181,The Archaeology of Hunters-Gatherers,https://catalog.ucsd.edu/courses/ANTH.html#anar181
FA26,ANBI:100,Special Topics in Biological Anthropology,https://catalog.ucsd.edu/courses/ANTH.html#anbi100
FA26,ANBI:112,Methods in Human Comparative Neuroscience,https://catalog.ucsd.edu/courses/ANTH.html#anbi112
FA26,ANBI:117,Ancient Genomics: Who We Are and How We Got Here,https://catalog.ucsd.edu/courses/ANTH.html#anbi117
FA26,ANBI:134,Human Evolutionary Genetics,https://catalog.ucsd.edu/courses/ANTH.html#anbi134
FA26,ANBI:136,Human Comparative Neuroanatomy,https://catalog.ucsd.edu/courses/ANTH.html#anbi136
FA26,ANSC:121,Psychological Anthropology,https://catalog.ucsd.edu/courses/ANTH.html#ansc121
FA26,ANSC:122,Language in Society,https://catalog.ucsd.edu/courses/ANTH.html#ansc122
FA26,ANSC:124,Cultural Anthropology,https://catalog.ucsd.edu/courses/ANTH.html#ansc124
FA26,ANSC:129,Meaning and Healing,https://catalog.ucsd.edu/courses/ANTH.html#ansc129
FA26,ANSC:142,Anthropology of Latin America,https://catalog.ucsd.edu/courses/ANTH.html#ansc142
FA26,ANSC:148,Global Health and Cultural Diversity,https://catalog.ucsd.edu/courses/ANTH.html#ansc148
FA26,ANSC:152,Social Justice in South Asia,https://catalog.ucsd.edu/courses/ANTH.html#ansc152
FA26,ANSC:169,Culture and Environment: Research Seminar and Practicum,https://catalog.ucsd.edu/courses/ANTH.html#ansc169
FA26,ANSC:173,Ethnography in Practice,https://catalog.ucsd.edu/courses/ANTH.html#ansc173
FA26,ANTH:1,Introduction to Culture,https://catalog.ucsd.edu/courses/ANTH.html#anth1
FA26,ANTH:2,Human Origins,https://catalog.ucsd.edu/courses/ANTH.html#anth2
FA26,ANTH:21,Race and Racisms,https://catalog.ucsd.edu/courses/ANTH.html#anth21
FA26,ANTH:23,"Debating Multiculturalism: Race, Ethnicity, and Class in American Societies",https://catalog.ucsd.edu/courses/ANTH.html#anth23
FA26,ANTH:30,Decolonizing the Body,https://catalog.ucsd.edu/courses/ANTH.html#anth30
FA26,ANTH:87,First-year Student Seminar,https://catalog.ucsd.edu/courses/ANTH.html#anth87
FA26,ANTH:101,Foundations of Social Complexity,https://catalog.ucsd.edu/courses/ANTH.html#anth101
FA26,ANTH:105,"Climate Change, Race, and Inequality",https://catalog.ucsd.edu/courses/ANTH.html#anth105
FA26,ANTH:107,"Designing for Disasters, Emergencies, and Extreme Weather",https://catalog.ucsd.edu/courses/ANTH.html#anth107
FA26,ANTH:108,"Indigenous Peoples, Extractive Development, and Climate Change",https://catalog.ucsd.edu/courses/ANTH.html#anth108
FA26,ANTH:196A,Honors Studies in Anthropology,https://catalog.ucsd.edu/courses/ANTH.html#anth196a
FA26,ANTH:203,Introduction to Anthropogeny,https://catalog.ucsd.edu/courses/ANTH.html#anth203
FA26,ANTH:212,Advanced Topics in Biological Anthropology,https://catalog.ucsd.edu/courses/ANTH.html#anth212
FA26,ANTH:230,Department Colloquium,https://catalog.ucsd.edu/courses/ANTH.html#anth230
FA26,ANTH:241,Linguistic Anthropology Workshop,https://catalog.ucsd.edu/courses/ANTH.html#anth241
FA26,ANTH:273,Colloquium in Science Studies,https://catalog.ucsd.edu/courses/ANTH.html#anth273
FA26,ANTH:278,Anthropological Methods,https://catalog.ucsd.edu/courses/ANTH.html#anth278
